127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:24:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062000
127.0.0.1, 2016-10-06 15:24:16, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 0.218000
127.0.0.1, 2016-10-06 15:24:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-10-06 15:24:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-10-06 15:25:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-10-06 15:25:17, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 1.392000
127.0.0.1, 2016-10-06 15:25:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-10-06 15:25:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-10-06 15:26:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062000
127.0.0.1, 2016-10-06 15:26:16, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 0.234000
127.0.0.1, 2016-10-06 15:26:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-10-06 15:26:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-10-06 15:27:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055000
127.0.0.1, 2016-10-06 15:27:17, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 1.358000
127.0.0.1, 2016-10-06 15:27:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-10-06 15:27:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-10-06 15:28:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.063000
127.0.0.1, 2016-10-06 15:28:17, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 1.364000
